"researcher_id"	"cluster_id"
"#1"	"0"
"#10"	"0"
"#11"	"1"
"#12"	"1"
"#13"	"2"
"#14"	"0"
"#15"	"2"
"#16"	"0"
"#17"	"2"
"#18"	"2"
"#19"	"3"
"#2"	"0"
"#20"	"3"
"#21"	"3"
"#22"	"0"
"#23"	"2"
"#24"	"1"
"#25"	"0"
"#26"	"0"
"#27"	"0"
"#29"	"3"
"#3"	"1"
"#30"	"0"
"#31"	"2"
"#33"	"2"
"#35"	"0"
"#36"	"0"
"#37"	"1"
"#38"	"0"
"#39"	"0"
"#4"	"2"
"#40"	"2"
"#41"	"2"
"#42"	"1"
"#43"	"1"
"#44"	"1"
"#45"	"1"
"#46"	"1"
"#47"	"2"
"#48"	"0"
"#49"	"0"
"#5"	"1"
"#50"	"0"
"#51"	"1"
"#52"	"2"
"#53"	"2"
"#54"	"2"
"#55"	"1"
"#56"	"0"
"#57"	"2"
"#58"	"0"
"#59"	"0"
"#6"	"1"
"#60"	"2"
"#61"	"0"
"#62"	"0"
"#64"	"2"
"#65"	"0"
"#66"	"2"
"#67"	"2"
"#68"	"0"
"#69"	"2"
"#7"	"2"
"#71"	"0"
"#72"	"3"
"#73"	"1"
"#75"	"0"
"#76"	"0"
"#77"	"1"
"#78"	"0"
"#79"	"1"
"#8"	"1"
"#80"	"3"
"#81"	"1"
"#82"	"0"
"#83"	"1"
"#84"	"0"
"#85"	"1"
"#9"	"1"
